Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Салат;8755728;БАГРЯНЕЦ;2013;*;-;-;-;-;кочанный;садово-огородный;-;
Свекла столовая;8653610;БАГРЯНЕЦ;2016;3;-;-;-;-;-;товарное производство;плоскоокруглая;
Томат;9463537;БАГРЯНЕЦ;2007;*;гибрид первого поколения;салатный;-;ранний (раннеспелый);детерминантное;садово-огородный;округлая;
Яблоня;8261379;БАГРЯНЕЦ КУБАНИ;2019;6;-;-;-;-;-;-;-;10907
Мискантус;7652822;БАГРЯНЫЙ;2024;*;-;-;-;-;-;-;-;
Шиповник;8802866;БАГРЯНЫЙ;1995;*;-;-;-;-;-;-;-;
Яблоня декоративная;9464203;БАГРЯНЫЙ ЦВЕТ;2006;*;-;-;-;-;-;-;-;
Свекла столовая;8557702;БАГРЯНЫЙ ЦИЛИНДР;2017;3;-;-;-;-;-;товарное производство;цилиндрическая;
Свекла столовая;8557704;БАГРЯНЫЙ ШАР;2017;3;-;-;-;-;-;товарное производство;округлая;
Горох посевной;8262082;БАГУ;2020;6, 10;-;-;-;средний (среднеспелый);безлисточковый;-;-;11047
Базилик овощной;8557233;БАДЁРЫЙ;2014;*;-;-;-;-;-;садово-огородный;-;
Томат;9153732;БАДЖИО;2010;*;гибрид первого поколения;цельноплодное консервирование;-;средний (среднеспелый);детерминантное;садово-огородный;обратнояйцевидная;
Перец сладкий;8755659;БАДМИНТОН;2012;*;-;-;-;средний (среднеспелый);-;садово-огородный;конусовидная;
Астра однолетняя;9052319;БАЖЕНА;2011;*;-;-;-;-;-;-;-;
Люцерна изменчивая;8558557;БАЖЕНА;2019;6;-;-;-;-;-;-;-;10772
Пшеница мягкая яровая;9154791;БАЖЕНКА;2011;4;-;ценная(ый) по качеству;-;среднеранний;-;-;-;
Лук шалот;8853081;БАЖЕНОВСКИЙ;2011;*;-;-;-;средний (среднеспелый);полуострый;садово-огородный;-;
Пшеница мягкая озимая;8900574;БАЗАЛЬТ;1993;5, 7, 8;-;ценная(ый) по качеству;-;средний (среднеспелый);-;-;-;
Пшеница мягкая озимая;8457434;БАЗАЛЬТ 2;2019;5, 7;-;-;-;среднеранний;-;-;-;10296
Кориандр овощной;8558623;БАЗАР;2015;*;-;салатный;-;-;-;садово-огородный;-;
Огурец;9252702;БАЗАР;2008;;гибрид первого поколения;салатный;-;-;партенокарпическое;сад.-огород. для з/грунта;-;
Морковь;9252894;БАЗЕЛЬ;2010;2, 3, 4, 9, 10, 12;гибрид первого поколения;-;-;среднепоздний;-;товарное производство;цилиндрическая;
Подсолнечник;8261668;БАЗИК;2020;5, 6, 8, 9;гибрид первого поколения;-;-;средний (среднеспелый);-;-;-;11009
Кукуруза;9052599;БАЗИЛИК;2012;5;простой гибрид;зерновой;-;среднеранний;-;-;-;
Котовник кошачий;9609862;БАЗИЛИО;2004;*;-;-;-;-;-;садово-огородный;-;
Свекла сахарная;8954003;БАЗИЛИУС;2013;6, 7, 9;гибрид первого поколения;-;-;-;сахаристый-среднепоздний;-;-;
Пшеница мягкая озимая;8558188;БАЗИС;2018;7;-;-;-;среднеранний;-;-;-;9654
Капуста пекинская;8261513;БАЗУКО;2019;*;гибрид первого поколения;-;-;среднепоздний;-;садово-огородный;-;
Пшеница мягкая озимая;9463045;БАИР;2009;8;-;-;-;средний (среднеспелый);-;-;-;3807
